,Side Lenght,Bandwidth,best epoch,prec1 max,prec5 at best epoch,prec1 at epoch 38
0,1000,0.5,36,91.06743,94.741264,90.97223
1,1000,1.0,36,92.461914,96.8414,92.316315
2,1000,1.5,39,92.400314,97.395836,92.29951
3,2000,0.5,36,92.17629,96.38777,92.1315
4,2000,1.0,41,92.43392,97.34543,92.366714
5,2000,1.5,42,92.45072,97.73186,92.349915
6,3000,0.5,41,92.349915,96.53898,92.316315
7,3000,1.0,42,92.43392,97.29503,92.366714
8,3000,1.5,42,92.41712,97.71506,92.366714
9,4000,0.5,42,92.43392,96.52218,92.383514
10,4000,1.0,42,92.43392,97.31183,92.366714
11,4000,1.5,42,92.41712,97.63105,92.366714
