,Side Lenght,Bandwidth,best epoch,prec1 max,prec5 at best epoch,prec1 at epoch 38
0,1000,0.5,38,91.54906,95.22849,91.54906
1,1000,1.0,42,92.60193,96.8582,92.55153
2,1000,1.5,42,92.53473,97.379036,92.50112
3,2000,0.5,36,92.07549,96.40457,92.01389
4,2000,1.0,42,92.45072,97.143814,92.400314
5,2000,1.5,42,92.41712,97.71506,92.400314
6,3000,0.5,36,92.2603,96.706985,92.24911
7,3000,1.0,42,92.43392,97.31183,92.41712
8,3000,1.5,42,92.43392,97.73186,92.41712
9,4000,0.5,38,92.316315,96.622986,92.316315
10,4000,1.0,42,92.43392,97.27823,92.41712
11,4000,1.5,38,92.41712,97.866264,92.41712
