,Sample Radius,best epoch$_a$,prec1$_a$ max,prec1 at epoch$_a$,prec5 at epoch$_a$,prec5$_a$ at epoch$_a$,prec1$_a$ at epoch 33,prec5$_a$ at epoch 33,prec1$_a$-prec1,prec5$_a$-prec5
0,10,33,94.06362,94.06362,99.411964,99.411964,94.06362,99.411964,0.0,0.0
1,20,33,94.06922,94.06362,99.411964,99.411964,94.06922,99.411964,0.0055999756,0.0
2,30,33,94.07483,94.06362,99.411964,99.411964,94.07483,99.411964,0.011207581,0.0
3,40,33,94.06922,94.06362,99.411964,99.411964,94.06922,99.411964,0.0055999756,0.0
4,50,33,94.06362,94.06362,99.411964,99.411964,94.06362,99.411964,0.0,0.0
5,100,33,94.06362,94.06362,99.411964,99.411964,94.06362,99.411964,0.0,0.0
6,200,33,94.06362,94.06362,99.411964,99.411964,94.06362,99.411964,0.0,0.0
7,300,33,94.06362,94.06362,99.411964,99.411964,94.06362,99.411964,0.0,0.0
8,400,33,94.06362,94.06362,99.411964,99.411964,94.06362,99.411964,0.0,0.0
9,500,33,94.06362,94.06362,99.411964,99.411964,94.06362,99.411964,0.0,0.0
