,Sample Radius,best epoch$_a$,prec1$_a$ max,prec1 at epoch$_a$,prec5 at epoch$_a$,prec5$_a$ at epoch$_a$,prec1$_a$ at epoch 27,prec5$_a$ at epoch 27,prec1$_a$-prec1,prec5$_a$-prec5
0,10,27,93.38597,93.38038,99.37836,99.37836,93.38597,99.37836,0.005592346,0.0
1,20,27,93.39158,93.38038,99.37836,99.37836,93.39158,99.37836,0.011199951,0.0
2,30,27,93.38038,93.38038,99.37836,99.37836,93.38038,99.37836,0.0,0.0
3,40,27,93.39718,93.38038,99.37836,99.37836,93.39718,99.37836,0.016799927,0.0
4,50,27,93.39158,93.38038,99.37836,99.37836,93.39158,99.37836,0.011199951,0.0
5,100,27,93.38038,93.38038,99.37836,99.37836,93.38038,99.37836,0.0,0.0
6,200,27,93.38038,93.38038,99.37836,99.37836,93.38038,99.37836,0.0,0.0
7,300,27,93.38038,93.38038,99.37836,99.37836,93.38038,99.37836,0.0,0.0
8,400,27,93.38038,93.38038,99.37836,99.37836,93.38038,99.37836,0.0,0.0
9,500,27,93.38038,93.38038,99.37836,99.37836,93.38038,99.37836,0.0,0.0
